id,closed,title,url,created_at,updated_at,user,labels,reactions
2496913540,true,Enum values that ignore naming conventions in Navigation Timing Level 2,https://github.com/w3c/navigation-timing/issues/204,2024-08-30T10:57:55Z,2024-09-11T06:58:26Z,dontcallmedom-bot,,0
2331569557,false,Add `confidence` field to PerformanceNavigationTiming,https://github.com/w3c/navigation-timing/issues/202,2024-06-03T16:21:31Z,2025-09-10T20:08:18Z,mwjacksonmsft,,1
2283500433,false,"""Create a NotRestoredReasons object"" takes a realm, but ""create the navigation timing entry"" doesn't pass it",https://github.com/w3c/navigation-timing/issues/201,2024-05-07T14:21:23Z,2024-05-21T14:39:37Z,petervanderbeken,,0
2240833403,false,Timing values are inconsistent across browsers when page is controlled by service worker,https://github.com/w3c/navigation-timing/issues/199,2024-04-12T20:16:48Z,2024-04-23T14:42:14Z,philipwalton,,0
2168852211,true,"""Process Unload Event"" in wrong place on timing diagram",https://github.com/w3c/navigation-timing/issues/197,2024-03-05T10:32:05Z,2024-03-07T15:36:14Z,tunetheweb,,3
2012359572,false,Chore: Fix overloading in WebIDL,https://github.com/w3c/navigation-timing/issues/194,2023-11-27T14:07:40Z,2024-01-30T15:59:58Z,noamr,,0
2012055992,false,"Proposal: add timestamp for when ""activation"" or ""dismissal"" starts",https://github.com/w3c/navigation-timing/issues/193,2023-11-27T11:21:23Z,2025-09-10T20:11:51Z,noamr,,0
1963993196,false,"Consider using `reload` instead of `back_forward` for ""tab restore""",https://github.com/w3c/navigation-timing/issues/192,2023-10-26T17:04:00Z,2023-11-23T09:28:48Z,noamr,,0
1686915140,false,Measuring `beforeunload`,https://github.com/w3c/navigation-timing/issues/190,2023-04-27T13:57:28Z,2023-08-08T16:11:30Z,yoavweiss,,0
1664602770,false,Broken references in Navigation Timing Level 2,https://github.com/w3c/navigation-timing/issues/189,2023-04-12T13:45:34Z,2023-04-24T14:34:17Z,dontcallmedom-bot,,0
1525328160,true,Broken references in Navigation Timing Level 2,https://github.com/w3c/navigation-timing/issues/186,2023-01-09T10:42:27Z,2023-02-06T15:15:39Z,dontcallmedom-bot,,0
1472873200,false,NavigationTimingType enum need updates as HTML spec changed,https://github.com/w3c/navigation-timing/issues/185,2022-12-02T13:31:03Z,2023-04-25T08:00:25Z,Elchi3,,0
1439915156,false,Extending the NavigationTimingType,https://github.com/w3c/navigation-timing/issues/184,2022-11-08T10:27:04Z,2023-10-20T05:57:39Z,tunetheweb,,0
1424089506,true,performance.timeOrigin vs performance.timing.navigationStart,https://github.com/w3c/navigation-timing/issues/183,2022-10-26T14:03:22Z,2022-10-31T14:04:27Z,Quadiago,,0
1357613629,false,Clarify how PerformanceTiming.responseStart relates to Early Hint responses,https://github.com/w3c/navigation-timing/issues/181,2022-08-31T16:56:52Z,2023-04-24T07:25:04Z,colinbendell,,3
1243363373,true,Extend 'NavigationType' to include User Agent Launch,https://github.com/w3c/navigation-timing/issues/180,2022-05-20T16:08:44Z,2024-06-04T15:40:30Z,bmathwig,enhancement,0
1238295846,false,Detecting whether a navigation was BFCache-eligible,https://github.com/w3c/navigation-timing/issues/179,2022-05-17T08:47:37Z,2022-07-18T15:06:41Z,fergald,enhancement,0
1218129805,true,"Extend the navigationType enum to include ""reload after being discarded"" navigations",https://github.com/w3c/navigation-timing/issues/178,2022-04-28T03:08:11Z,2022-05-17T06:53:36Z,yoavweiss,,0
1209476171,true,Report that Critical-CH was used to restart a navigation,https://github.com/w3c/navigation-timing/issues/177,2022-04-20T10:15:49Z,2023-06-07T13:53:50Z,yoavweiss,enhancement,0
1163514886,true,"Links to ""relevant application caches"" are broken",https://github.com/w3c/navigation-timing/issues/173,2022-03-09T05:41:51Z,2022-03-09T07:44:49Z,yoavweiss,,0
1162376039,false,Extend Navigation Timing API to include back/forward cache NotRestoredReasons,https://github.com/w3c/navigation-timing/issues/171,2022-03-08T08:42:48Z,2022-07-18T15:07:37Z,rubberyuzu,enhancement,0
1127271642,true,Should pages with different COOP be able to get unload event start/end.,https://github.com/w3c/navigation-timing/issues/169,2022-02-08T13:39:21Z,2022-05-31T18:46:13Z,hemeryar,,0
1103143342,true,ToT spec has a bunch of respec warnings and errors,https://github.com/w3c/navigation-timing/issues/167,2022-01-14T07:12:40Z,2022-01-17T09:25:37Z,yoavweiss,,0
1053282711,true,Reporting timestamps rely on a global object which might not exist yet,https://github.com/w3c/navigation-timing/issues/166,2021-11-15T06:59:48Z,2021-11-22T07:50:09Z,noamr,,0
1042488292,true,"Using ""connectStart"", ""secureConnectionStart"" and ""connectEnd"" with HTTP/3 flows",https://github.com/w3c/navigation-timing/issues/165,2021-11-02T15:11:41Z,2022-04-07T13:11:13Z,ThierryMajutec,,0
1038253785,true,Processing Model: Should 'prompt for unload' box actually be unload?,https://github.com/w3c/navigation-timing/issues/164,2021-10-28T08:48:18Z,2022-03-09T09:28:01Z,andydavies,,0
1036717472,true,How should prefetch be exposed?,https://github.com/w3c/navigation-timing/issues/163,2021-10-26T20:36:47Z,2023-06-13T15:56:14Z,jeremyroman,enhancement,0
1011804898,false,Using navigationStart as a baseline may expose cross-origin timing information,https://github.com/w3c/navigation-timing/issues/160,2021-09-30T07:13:08Z,2022-04-19T13:50:52Z,noamr,,0
1004718527,true,Clarify spec and tests with respect to redirect info,https://github.com/w3c/navigation-timing/issues/158,2021-09-22T19:57:00Z,2022-03-20T14:04:23Z,npm1,,0
1004550760,true,Add non-normative explanations for each of the attributes and when they are set or unset,https://github.com/w3c/navigation-timing/issues/157,2021-09-22T17:34:03Z,2021-09-27T11:06:00Z,npm1,,0
987933047,true,Should about:blank have a PerformanceNavigationTiming?,https://github.com/w3c/navigation-timing/issues/155,2021-09-03T16:26:17Z,2022-01-17T09:27:06Z,achristensen07,,0
979410313,false,Lack of Feature Parity with Performace.measure() in Level 2,https://github.com/w3c/navigation-timing/issues/154,2021-08-25T16:31:51Z,2022-04-21T13:46:11Z,c3-ThomasHuo,,0
948911736,true,Fix the auto-publish,https://github.com/w3c/navigation-timing/issues/153,2021-07-20T18:10:39Z,2021-07-28T04:36:35Z,plehegar,w3c|admin,0
936887430,true," The unloadEventEnd attribute",https://github.com/w3c/navigation-timing/issues/151,2021-07-05T09:23:53Z,2021-08-19T17:22:12Z,yujun-0127,,0
919480015,false,"The ""Obsolete"" label is rendered in a seemingly random place",https://github.com/w3c/navigation-timing/issues/149,2021-06-10T03:56:04Z,2022-07-18T15:07:46Z,Krinkle,,0
894147302,true,Add a test that ensures `fetchStart` matches the SW's fetch event start time,https://github.com/w3c/navigation-timing/issues/148,2021-05-18T08:58:55Z,2021-11-09T07:02:30Z,yoavweiss,,0
874311667,true,"Spec needs a serious rewrite ",https://github.com/w3c/navigation-timing/issues/147,2021-05-03T07:27:51Z,2021-05-25T06:03:51Z,marcoscaceres,,0
863428351,true,A scenario where transferSize is 0 for non cached loads (or may be not),https://github.com/w3c/navigation-timing/issues/146,2021-04-21T04:06:08Z,2022-04-07T13:29:00Z,Nithanaroy,,0
862572046,true,list of possible initiator types from the resource timing API?,https://github.com/w3c/navigation-timing/issues/145,2021-04-20T08:39:00Z,2021-09-22T06:24:52Z,ThierryMajutec,,0
861311002,true,"Clarify security context for PerformanceNavigationTiming ",https://github.com/w3c/navigation-timing/issues/144,2021-04-19T13:28:39Z,2022-04-07T14:03:41Z,fred-wang,,0
832519640,true,AppCache meaning,https://github.com/w3c/navigation-timing/issues/140,2021-03-16T07:52:54Z,2022-03-09T09:28:01Z,ThierryMajutec,,0
800272098,true,Connection time missing after redirection...,https://github.com/w3c/navigation-timing/issues/138,2021-02-03T12:13:42Z,2021-02-04T09:20:44Z,ThierryMajutec,,0
